N=2,N=5,N=8,N=10
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.27E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.14E-01,9.28E-02,1.06E-01
-2.47E-01,2.13E-01,9.28E-02,1.06E-01
-2.47E-01,2.13E-01,9.28E-02,1.06E-01
-2.47E-01,2.13E-01,9.28E-02,1.06E-01
-2.47E-01,2.13E-01,9.28E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.29E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.30E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.31E-02,1.06E-01
-2.47E-01,2.13E-01,9.32E-02,1.06E-01
-2.47E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.32E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.33E-02,1.06E-01
-2.46E-01,2.13E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.34E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.35E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.36E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.37E-02,1.06E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.38E-02,1.07E-01
-2.46E-01,2.12E-01,9.39E-02,1.07E-01
-2.46E-01,2.12E-01,9.39E-02,1.07E-01
-2.46E-01,2.12E-01,9.39E-02,1.07E-01
-2.46E-01,2.12E-01,9.39E-02,1.07E-01
-2.46E-01,2.12E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.39E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.46E-01,2.11E-01,9.40E-02,1.07E-01
-2.45E-01,2.11E-01,9.40E-02,1.07E-01
-2.45E-01,2.11E-01,9.40E-02,1.07E-01
-2.45E-01,2.11E-01,9.40E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.41E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.42E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.43E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.11E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.44E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.45E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.46E-02,1.07E-01
-2.45E-01,2.10E-01,9.47E-02,1.07E-01
-2.45E-01,2.10E-01,9.47E-02,1.07E-01
